1,"John F. Kennedy International Airport","New York","United States","JFK","KJFK",40.639801,-73.7789,13,5,"A","America/New_York","airport","OurAirports"
2,"San Francisco International Airport","San Francisco","United States","SFO","KSFO",37.6189994507,-122.375,13,8,"A","America/Los_Angeles","airport","OurAirports"
